Z,N,,protons,neutrons
18,22,SkMs,3.356,3.445
18,22,Sly6,3.330,3.412
18,22,SV-min,3.321,3.418
18,22,UNEDF1,3.296,3.407
32,38,SkMs,3.949,4.003
32,38,Sly6,3.944,3.988
32,38,SV-min,3.922,3.980
32,38,UNEDF1,3.904,3.975
32,40,SkMs,3.965,4.053
32,40,Sly6,3.959,4.031
32,40,SV-min,3.940,4.031
32,40,UNEDF1,3.922,4.028
32,41,SkMs,3.973,4.077
32,41,Sly6,3.965,4.054
32,41,SV-min,3.947,4.054
32,41,UNEDF1,3.931,4.053
32,42,SkMs,3.980,4.099
32,42,Sly6,3.976,4.081
32,42,SV-min,3.955,4.077
32,42,UNEDF1,3.941,4.078
32,44,SkMs,4.016,4.163
32,44,Sly6,4.004,4.138
32,44,SV-min,3.978,4.129
32,44,UNEDF1,3.975,4.140
53,74,SkMs,4.702,4.836
53,74,Sly6,4.698,4.824
53,74,SV-min,4.676,4.814
53,74,UNEDF1,4.676,4.822
55,78,SkMs,4.763,4.898
55,78,Sly6,4.759,4.885
55,78,SV-min,4.739,4.878
55,78,	UNEDF1 ,4.740,4.887
